Text,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:10.2001,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.5002,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2002,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2003,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2004,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2005,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2006,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2007,urn:cite:hmt:msA.130r
urn:cts:greekLit:tlg5026.msA.hmt:10.2014,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2015,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2016,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2017,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2018,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2019,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2020,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2021,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2008,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2009,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2010,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2011,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2012,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2013,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msAil.hmt:10.2014,urn:cite:hmt:msA.130v
urn:cts:greekLit:tlg5026.msA.hmt:10.2500,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2501,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2502,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2503,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2504,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2505,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2506,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2507,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2508,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2509,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2510,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2511,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2512,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msA.hmt:10.2513,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAim.hmt:10.2514,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAint.hmt:10.2515,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAint.hmt:10.2516,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAint.hmt:10.2517,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAint.hmt:10.2518,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAim.hmt:10.2519,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2520,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2521,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2522,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2523,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2524,urn:cite:hmt:msA.131r
urn:cts:greekLit:tlg5026.msAil.hmt:10.2525,urn:cite:hmt:msA.131r
