URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.69,"urn:cite:hmt:vaimg.VA127RN-0299@0.1552,0.5552,0.4044,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:10.70,"urn:cite:hmt:vaimg.VA127RN-0299@0.1522,0.5748,0.4214,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.71,"urn:cite:hmt:vaimg.VA127RN-0299@0.1572,0.592,0.4214,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.72,"urn:cite:hmt:vaimg.VA127RN-0299@0.1532,0.6131,0.4364,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.73,"urn:cite:hmt:vaimg.VA127RN-0299@0.1522,0.6296,0.4204,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.74,"urn:cite:hmt:vaimg.VA127RN-0299@0.1522,0.6491,0.4424,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.75,"urn:cite:hmt:vaimg.VA127RN-0299@0.1542,0.6694,0.4434,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.76,"urn:cite:hmt:vaimg.VA127VN-0630@0.4855,0.2276,0.3674,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.77,"urn:cite:hmt:vaimg.VA127VN-0630@0.4885,0.2472,0.3874,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.78,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.2637,0.3944,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.79,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.2832,0.3864,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:10.80,"urn:cite:hmt:vaimg.VA127VN-0630@0.4875,0.2998,0.4034,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.81,"urn:cite:hmt:vaimg.VA127VN-0630@0.4875,0.3201,0.3784,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.82,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.3351,0.3944,0.0285"
