Observation,Texturn,image,comments
urn:cite:op:hmt:10.1055,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ι,"urn:cite:hmt:vaimg.VA127VN-0630@0.3373,0.1277,0.006,0.0158",
urn:cite:op:hmt:10.1056,urn:cts:greekLit:tlg5026.msA.hmt:10.96@δ[2],"urn:cite:hmt:vaimg.VA127VN-0630@0.3423,0.1225,0.006,0.015",
urn:cite:op:hmt:10.1057,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ο,"urn:cite:hmt:vaimg.VA127VN-0630@0.3473,0.124,0.006,0.015",
urn:cite:op:hmt:10.1058,urn:cts:greekLit:tlg5026.msA.hmt:10.96@κ,"urn:cite:hmt:vaimg.VA127VN-0630@0.3524,0.1255,0.007,0.0143",
urn:cite:op:hmt:10.1059,urn:cts:greekLit:tlg5026.msA.hmt:10.96@ῦ,"urn:cite:hmt:vaimg.VA127VN-0630@0.3624,0.1262,0.005,0.012",
urn:cite:op:hmt:10.1060,urn:cts:greekLit:tlg5026.msA.hmt:10.96@σ,"urn:cite:hmt:vaimg.VA127VN-0630@0.3644,0.1277,0.006,0.0098",
urn:cite:op:hmt:10.1061,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ο,"urn:cite:hmt:vaimg.VA128RN-0300@0.1812,0.0992,0.011,0.0135",
urn:cite:op:hmt:10.1062,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ὐ,"urn:cite:hmt:vaimg.VA128RN-0300@0.1902,0.0977,0.009,0.0188",
urn:cite:op:hmt:10.1063,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@δ,"urn:cite:hmt:vaimg.VA128RN-0300@0.2002,0.0939,0.009,0.0218",
urn:cite:op:hmt:10.1064,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@έ,"urn:cite:hmt:vaimg.VA128RN-0300@0.2082,0.0954,0.007,0.0195",
urn:cite:op:hmt:10.1065,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@τ,"urn:cite:hmt:vaimg.VA128RN-0300@0.2132,0.0887,0.008,0.0285",
urn:cite:op:hmt:10.1066,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ι,"urn:cite:hmt:vaimg.VA128RN-0300@0.2192,0.1022,0.009,0.0173",
urn:cite:op:hmt:10.1067,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ἴ,"urn:cite:hmt:vaimg.VA128RN-0300@0.2292,0.0917,0.01,0.0248",
urn:cite:op:hmt:10.1068,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@δ[2],"urn:cite:hmt:vaimg.VA128RN-0300@0.2362,0.0962,0.009,0.0203",
urn:cite:op:hmt:10.1069,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@μ,"urn:cite:hmt:vaimg.VA128RN-0300@0.2442,0.0992,0.007,0.015",
urn:cite:op:hmt:10.1070,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ε,"urn:cite:hmt:vaimg.VA128RN-0300@0.2503,0.0969,0.006,0.0233",
urn:cite:op:hmt:10.1071,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ν,"urn:cite:hmt:vaimg.VA128RN-0300@0.2553,0.1014,0.008,0.0113",
urn:cite:op:hmt:10.1072,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@μ[2],"urn:cite:hmt:vaimg.VA128RN-0300@0.2422,0.0999,0.01,0.0158",
urn:cite:op:hmt:10.1073,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ή,"urn:cite:hmt:vaimg.VA128RN-0300@0.2713,0.0954,0.009,0.0203",
urn:cite:op:hmt:10.1074,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@π,"urn:cite:hmt:vaimg.VA128RN-0300@0.2783,0.0999,0.011,0.0165",
urn:cite:op:hmt:10.1075,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ω,"urn:cite:hmt:vaimg.VA128RN-0300@0.2863,0.0969,0.01,0.024",
urn:cite:op:hmt:10.1076,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@σ,"urn:cite:hmt:vaimg.VA128RN-0300@0.2953,0.0992,0.008,0.021",
urn:cite:op:hmt:10.1077,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@κ,"urn:cite:hmt:vaimg.VA128RN-0300@0.3003,0.0947,0.012,0.0233",
urn:cite:op:hmt:10.1078,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@α,"urn:cite:hmt:vaimg.VA128RN-0300@0.3103,0.0977,0.007,0.0143",
urn:cite:op:hmt:10.1079,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@ὶ,"urn:cite:hmt:vaimg.VA128RN-0300@0.3153,0.0954,0.007,0.0203",
urn:cite:op:hmt:10.1080,urn:cts:greekLit:tlg5026.msA.hmt:10.1000@δ[3],"urn:cite:hmt:vaimg.VA128RN-0300@0.3243,0.1022,0.006,0.0135",
